humidity,timeout,temp,co2,time
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[6.0, 82.0, 65535.0, 32.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:20
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[6.0, 82.0, 65535.0, 32.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:21
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[6.0, 82.0, 65535.0, 32.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:23
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[6.0, 82.0, 65535.0, 32.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:24
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[11.0, 86.0, 65535.0, 37.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:25
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[11.0, 86.0, 65535.0, 37.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:26
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[11.0, 86.0, 65535.0, 37.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:28
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[11.0, 86.0, 65535.0, 37.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:29
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[11.0, 86.0, 65535.0, 37.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:30
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[11.0, 86.0, 65535.0, 37.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:31
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[11.0, 86.0, 65535.0, 37.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:32
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[11.0, 86.0, 65535.0, 37.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:33
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[11.0, 86.0, 65535.0, 37.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:35
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[11.0, 86.0, 65535.0, 37.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:36
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[11.0, 86.0, 65535.0, 37.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:37
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[11.0, 86.0, 65535.0, 37.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:38
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[11.0, 86.0, 65535.0, 37.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:39
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[25.0, 1.0, 65535.0, 51.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:41
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[25.0, 1.0, 65535.0, 51.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:42
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[25.0, 1.0, 65535.0, 51.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:43
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[30.0, 6.0, 65535.0, 56.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:44
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[30.0, 6.0, 65535.0, 56.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:45
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[30.0, 6.0, 65535.0, 56.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:46
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[30.0, 6.0, 65535.0, 56.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:48
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[30.0, 6.0, 65535.0, 56.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:49
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[30.0, 6.0, 65535.0, 56.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:50
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[36.0, 11.0, 65535.0, 62.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:51
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[36.0, 11.0, 65535.0, 62.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:52
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[36.0, 11.0, 65535.0, 62.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:53
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[36.0, 11.0, 65535.0, 62.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:55
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[41.0, 16.0, 65535.0, 67.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:56
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[41.0, 16.0, 65535.0, 67.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:57
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[41.0, 16.0, 65535.0, 67.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:41:58
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[46.0, 22.0, 65535.0, 72.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:42:00
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[46.0, 22.0, 65535.0, 72.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:42:01
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[46.0, 22.0, 65535.0, 72.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:42:02
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[46.0, 22.0, 65535.0, 72.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:42:03
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[46.0, 22.0, 65535.0, 72.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:42:04
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[46.0, 22.0, 65535.0, 72.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:42:05
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[46.0, 22.0, 65535.0, 72.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:42:07
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[46.0, 22.0, 65535.0, 72.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:42:08
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[46.0, 22.0, 65535.0, 72.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:42:09
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[46.0, 22.0, 65535.0, 72.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:42:10
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[46.0, 22.0, 65535.0, 72.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:42:11
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[46.0, 22.0, 65535.0, 72.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:42:12
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[46.0, 22.0, 65535.0, 72.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:42:14
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[46.0, 22.0, 65535.0, 72.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:42:15
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[46.0, 22.0, 65535.0, 72.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:42:16
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[46.0, 22.0, 65535.0, 72.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:42:17
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[46.0, 22.0, 65535.0, 72.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:42:18
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[46.0, 22.0, 65535.0, 72.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:42:19
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[67.0, 43.0, 65535.0, 93.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:42:21
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[67.0, 43.0, 65535.0, 93.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:42:22
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[67.0, 43.0, 65535.0, 93.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:42:23
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[67.0, 43.0, 65535.0, 93.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:42:24
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[67.0, 43.0, 65535.0, 93.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:42:25
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[67.0, 43.0, 65535.0, 93.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:42:27
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[72.0, 48.0, 65535.0, 98.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:42:28
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[72.0, 48.0, 65535.0, 98.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:42:29
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[72.0, 48.0, 65535.0, 98.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:42:30
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[72.0, 48.0, 65535.0, 98.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:42:31
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[72.0, 48.0, 65535.0, 98.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:42:32
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[72.0, 48.0, 65535.0, 98.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:42:34
"[32.299999, 0.0, 35.84, 0.0, 0.0, 0.0, 0.0, 0.0]","[72.0, 48.0, 65535.0, 98.0, 0.0, 0.0, 0.0, 0.0]","[22.6, 0.0, 18.9, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14:42:35
